booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,fk_flight_valid
B1054,MASKED,AI132,2026-04-11 11:37:36.951,CANCELLED,MASKED,19C,MASKED,MASKED,True
B1055,MASKED,6F012,2025-10-14 11:37:36.951,CANCELLED,MASKED,13F,MASKED,MASKED,True
B1056,MASKED,UK173,2026-03-24 11:37:36.951,CANCELLED,MASKED,15B,MASKED,MASKED,True
B1057,MASKED,SJ047,2025-08-20 11:37:36.951,CANCELLED,MASKED,14F,MASKED,MASKED,True
B1058,MASKED,SJ043,2025-12-07 11:37:36.951,PENDING,MASKED,8C,MASKED,MASKED,True
B1059,MASKED,UK140,2026-01-03 11:37:36.951,CONFIRMED,MASKED,23B,MASKED,MASKED,True
B1060,MASKED,6F086,2025-12-30 11:37:36.951,CONFIRMED,MASKED,11A,MASKED,MASKED,True
B1061,MASKED,6F114,2026-04-05 11:37:36.951,CANCELLED,MASKED,19C,MASKED,MASKED,True
B1062,MASKED,UK153,2025-06-12 11:37:36.951,CANCELLED,MASKED,15D,MASKED,MASKED,True
B1063,MASKED,6F149,2025-05-19 11:37:36.951,CANCELLED,MASKED,9A,MASKED,MASKED,True
B1064,MASKED,UK145,2025-09-14 11:37:36.951,CONFIRMED,MASKED,24E,MASKED,MASKED,True
B1065,MASKED,UK010,2026-03-06 11:37:36.951,CANCELLED,MASKED,7B,MASKED,MASKED,True
B1066,MASKED,SJ003,2025-11-05 11:37:36.951,PENDING,MASKED,1B,MASKED,MASKED,True
B1067,MASKED,SJ160,2025-07-23 11:37:36.951,PENDING,MASKED,7F,MASKED,MASKED,True
B1068,MASKED,UK224,2025-11-22 11:37:36.951,PENDING,MASKED,23A,MASKED,MASKED,True
B1069,MASKED,UK152,2025-08-02 11:37:36.951,CONFIRMED,MASKED,16E,MASKED,MASKED,True
B1070,MASKED,SJ034,2025-09-22 11:37:36.951,CANCELLED,MASKED,15D,MASKED,MASKED,True
B1071,MASKED,UK215,2025-12-21 11:37:36.951,CANCELLED,MASKED,15F,MASKED,MASKED,True
B1072,MASKED,UK089,2025-08-10 11:37:36.951,CANCELLED,MASKED,18F,MASKED,MASKED,True
B1073,MASKED,6F180,2025-12-04 11:37:36.951,CONFIRMED,MASKED,16A,MASKED,MASKED,True
B1074,MASKED,6F188,2025-09-25 11:37:36.951,CONFIRMED,MASKED,7A,MASKED,MASKED,True
B1075,MASKED,UK131,2026-01-03 11:37:36.951,CONFIRMED,MASKED,2F,MASKED,MASKED,True
B1076,MASKED,UK055,2025-05-04 11:37:36.951,CONFIRMED,MASKED,12B,MASKED,MASKED,True
B1077,MASKED,UK181,2025-05-03 11:37:36.951,PENDING,MASKED,3A,MASKED,MASKED,True
B1078,MASKED,6F077,2025-09-21 11:37:36.951,CONFIRMED,MASKED,1B,MASKED,MASKED,True
B1079,MASKED,SJ085,2025-06-03 11:37:36.951,CONFIRMED,MASKED,10D,MASKED,MASKED,True
B1080,MASKED,SJ023,2025-06-05 11:37:36.951,CONFIRMED,MASKED,22D,MASKED,MASKED,True
B1081,MASKED,SJ202,2025-11-13 11:37:36.951,CANCELLED,MASKED,29C,MASKED,MASKED,True
B1082,MASKED,SJ150,2025-09-09 11:37:36.951,CANCELLED,MASKED,30A,MASKED,MASKED,True
B1083,MASKED,SJ116,2025-05-12 11:37:36.951,CANCELLED,MASKED,9A,MASKED,MASKED,True
B1084,MASKED,6F270,2025-06-14 11:37:36.951,PENDING,MASKED,16E,MASKED,MASKED,True
B1085,MASKED,UK150,2026-03-24 11:37:36.951,PENDING,MASKED,12A,MASKED,MASKED,True
B1086,MASKED,SJ237,2026-02-16 11:37:36.951,CONFIRMED,MASKED,5D,MASKED,MASKED,True
B1087,MASKED,AI221,2025-05-08 11:37:36.951,CANCELLED,MASKED,2F,MASKED,MASKED,True
B1088,MASKED,SJ081,2026-03-25 11:37:36.951,PENDING,MASKED,31A,MASKED,MASKED,True
B1089,MASKED,UK189,2025-09-03 11:37:36.951,CANCELLED,MASKED,25F,MASKED,MASKED,True
B1090,MASKED,SJ068,2025-05-16 11:37:36.951,PENDING,MASKED,31C,MASKED,MASKED,True
B1091,MASKED,6F043,2025-08-18 11:37:36.951,PENDING,MASKED,25D,MASKED,MASKED,True
B1092,MASKED,UK187,2026-03-18 11:37:36.951,CONFIRMED,MASKED,16D,MASKED,MASKED,True
B1093,MASKED,UK074,2025-05-11 11:37:36.951,CONFIRMED,MASKED,25E,MASKED,MASKED,True
B1094,MASKED,UK004,2026-01-07 11:37:36.951,PENDING,MASKED,24C,MASKED,MASKED,True
B1095,MASKED,6F194,2025-07-30 11:37:36.951,CONFIRMED,MASKED,14B,MASKED,MASKED,True
B1096,MASKED,UK068,2026-01-03 11:37:36.951,PENDING,MASKED,12B,MASKED,MASKED,True
B1099,MASKED,6F254,2025-12-07 11:37:36.951,CONFIRMED,MASKED,26E,MASKED,MASKED,True
B1100,MASKED,UK077,2026-03-05 11:37:36.951,CONFIRMED,MASKED,16D,MASKED,MASKED,True
B1101,MASKED,AI029,2025-07-19 11:37:36.951,CONFIRMED,MASKED,3D,MASKED,MASKED,True
B1103,MASKED,AI242,2025-08-08 11:37:36.951,CANCELLED,MASKED,20D,MASKED,MASKED,True
B1104,MASKED,AI242,2025-09-12 11:37:36.951,CANCELLED,MASKED,16E,MASKED,MASKED,True
B1105,MASKED,SJ044,2025-09-11 11:37:36.951,CONFIRMED,MASKED,19F,MASKED,MASKED,True
B1106,MASKED,UK063,2025-09-01 11:37:36.951,CONFIRMED,MASKED,21F,MASKED,MASKED,True
B1107,MASKED,AI056,2025-05-19 11:37:36.951,CONFIRMED,MASKED,30F,MASKED,MASKED,True
B1108,MASKED,UK207,2025-10-11 11:37:36.951,CANCELLED,MASKED,14B,MASKED,MASKED,True
B1109,MASKED,UK166,2025-12-03 11:37:36.951,CANCELLED,MASKED,33D,MASKED,MASKED,True
B1110,MASKED,6F261,2025-12-17 11:37:36.951,PENDING,MASKED,12B,MASKED,MASKED,True
B1111,MASKED,UK134,2025-12-25 11:37:36.951,CANCELLED,MASKED,34A,MASKED,MASKED,True
B1112,MASKED,6F152,2025-10-02 11:37:36.951,PENDING,MASKED,27A,MASKED,MASKED,True
B1113,MASKED,SJ089,2025-11-23 11:37:36.951,CONFIRMED,MASKED,5A,MASKED,MASKED,True
B1114,MASKED,6F123,2025-09-26 11:37:36.951,CANCELLED,MASKED,2E,MASKED,MASKED,True
B1115,MASKED,AI025,2025-08-23 11:37:36.951,CONFIRMED,MASKED,10A,MASKED,MASKED,True
B1116,MASKED,6F030,2025-12-05 11:37:36.951,CONFIRMED,MASKED,19B,MASKED,MASKED,True
B1117,MASKED,SJ222,2025-09-02 11:37:36.951,CONFIRMED,MASKED,28F,MASKED,MASKED,True
B1118,MASKED,UK109,2026-04-03 11:37:36.951,CONFIRMED,MASKED,34B,MASKED,MASKED,True
B1119,MASKED,SJ117,2025-11-25 11:37:36.951,CANCELLED,MASKED,21F,MASKED,MASKED,True
B1120,MASKED,SJ142,2025-08-12 11:37:36.951,CONFIRMED,MASKED,12D,MASKED,MASKED,True
B1121,MASKED,SJ142,2025-06-01 11:37:36.951,PENDING,MASKED,17C,MASKED,MASKED,True
B1122,MASKED,AI030,2025-05-02 11:37:36.951,CANCELLED,MASKED,20B,MASKED,MASKED,True
B1123,MASKED,6F097,2025-09-23 11:37:36.951,CONFIRMED,MASKED,8A,MASKED,MASKED,True
B1124,MASKED,6F129,2025-05-23 11:37:36.951,CANCELLED,MASKED,5C,MASKED,MASKED,True
B1125,MASKED,6F181,2026-01-15 11:37:36.951,PENDING,MASKED,27E,MASKED,MASKED,True
B1126,MASKED,AI072,2025-10-20 11:37:36.951,CONFIRMED,MASKED,10E,MASKED,MASKED,True
B1127,MASKED,SJ154,2025-06-29 11:37:36.951,PENDING,MASKED,2E,MASKED,MASKED,True
B1128,MASKED,AI031,2026-04-08 11:37:36.951,CONFIRMED,MASKED,10D,MASKED,MASKED,True
B1129,MASKED,AI031,2025-09-18 11:37:36.951,PENDING,MASKED,26F,MASKED,MASKED,True
B1130,MASKED,6F158,2025-12-26 11:37:36.951,CONFIRMED,MASKED,34E,MASKED,MASKED,True
B1131,MASKED,6F184,2025-06-16 11:37:36.951,CANCELLED,MASKED,1C,MASKED,MASKED,True
B1132,MASKED,UK141,2025-06-20 11:37:36.951,CONFIRMED,MASKED,10D,MASKED,MASKED,True
B1133,MASKED,6F168,2025-12-29 11:37:36.951,CANCELLED,MASKED,23D,MASKED,MASKED,True
B1134,MASKED,6F051,2025-07-28 11:37:36.951,CONFIRMED,MASKED,34C,MASKED,MASKED,True
B1135,MASKED,6F047,2025-12-02 11:37:36.951,CONFIRMED,MASKED,20E,MASKED,MASKED,True
B1136,MASKED,UK156,2025-10-26 11:37:36.951,PENDING,MASKED,28E,MASKED,MASKED,True
B1137,MASKED,AI094,2025-09-01 11:37:36.951,PENDING,MASKED,13E,MASKED,MASKED,True
B1138,MASKED,AI038,2025-07-14 11:37:36.951,PENDING,MASKED,6C,MASKED,MASKED,True
B1139,MASKED,6F255,2026-01-19 11:37:36.951,CONFIRMED,MASKED,29F,MASKED,MASKED,True
B1140,MASKED,SJ025,2026-01-23 11:37:36.951,CONFIRMED,MASKED,29D,MASKED,MASKED,True
B1141,MASKED,SJ185,2025-10-28 11:37:36.951,CONFIRMED,MASKED,9C,MASKED,MASKED,True
B1142,MASKED,6F259,2026-01-21 11:37:36.951,CANCELLED,MASKED,5C,MASKED,MASKED,True
B1143,MASKED,6F073,2026-04-07 11:37:36.951,CANCELLED,MASKED,15A,MASKED,MASKED,True
B1144,MASKED,AI091,2025-09-26 11:37:36.951,CONFIRMED,MASKED,6D,MASKED,MASKED,True
B1145,MASKED,6F191,2025-08-23 11:37:36.951,PENDING,MASKED,15D,MASKED,MASKED,True
B1146,MASKED,UK228,2025-08-30 11:37:36.951,PENDING,MASKED,25A,MASKED,MASKED,True
B1147,MASKED,6F146,2026-03-25 11:37:36.951,PENDING,MASKED,11E,MASKED,MASKED,True
B1148,MASKED,6F068,2025-10-13 11:37:36.951,CONFIRMED,MASKED,19A,MASKED,MASKED,True
B1149,MASKED,SJ218,2026-01-08 11:37:36.951,PENDING,MASKED,30F,MASKED,MASKED,True
B1150,MASKED,UK083,2025-09-25 11:37:36.951,CONFIRMED,MASKED,12A,MASKED,MASKED,True
B1151,MASKED,SJ007,2026-01-18 11:37:36.951,CANCELLED,MASKED,29B,MASKED,MASKED,True
B1152,MASKED,AI077,2025-08-14 11:37:36.951,PENDING,MASKED,27A,MASKED,MASKED,True
B1153,MASKED,UK017,2025-12-20 11:37:36.951,CANCELLED,MASKED,8D,MASKED,MASKED,True
B1154,MASKED,6F229,2026-02-17 11:37:36.951,PENDING,MASKED,24A,MASKED,MASKED,True
B1155,MASKED,6F074,2025-10-08 11:37:36.951,CONFIRMED,MASKED,6D,MASKED,MASKED,True
B1156,MASKED,SJ088,2026-03-25 11:37:36.951,CONFIRMED,MASKED,5E,MASKED,MASKED,True
B1157,MASKED,SJ167,2025-06-28 11:37:36.951,CONFIRMED,MASKED,18B,MASKED,MASKED,True
B1158,MASKED,6F234,2025-07-20 11:37:36.951,CONFIRMED,MASKED,22A,MASKED,MASKED,True
B1159,MASKED,UK071,2025-12-10 11:37:36.951,PENDING,MASKED,22F,MASKED,MASKED,True
B1160,MASKED,AI178,2025-11-21 11:37:36.951,CANCELLED,MASKED,29A,MASKED,MASKED,True
B1161,MASKED,UK104,2025-11-14 11:37:36.951,CONFIRMED,MASKED,12A,MASKED,MASKED,True
B1163,MASKED,SJ235,2025-11-10 11:37:36.951,CANCELLED,MASKED,13D,MASKED,MASKED,True
B1164,MASKED,6F209,2025-04-24 11:37:36.951,CONFIRMED,MASKED,24A,MASKED,MASKED,True
B1165,MASKED,AI129,2025-08-20 11:37:36.951,CANCELLED,MASKED,2F,MASKED,MASKED,True
B1166,MASKED,SJ141,2026-01-23 11:37:36.951,CONFIRMED,MASKED,34D,MASKED,MASKED,True
B1167,MASKED,SJ018,2026-02-02 11:37:36.951,CANCELLED,MASKED,9F,MASKED,MASKED,True
B1168,MASKED,UK120,2025-10-14 11:37:36.951,CANCELLED,MASKED,11C,MASKED,MASKED,True
B1169,MASKED,AI078,2025-11-15 11:37:36.951,CONFIRMED,MASKED,11E,MASKED,MASKED,True
B1170,MASKED,AI079,2025-09-14 11:37:36.951,PENDING,MASKED,15E,MASKED,MASKED,True
B1171,MASKED,UK087,2025-09-19 11:37:36.951,CANCELLED,MASKED,21A,MASKED,MASKED,True
B1172,MASKED,UK133,2026-01-17 11:37:36.951,CONFIRMED,MASKED,8F,MASKED,MASKED,True
B1173,MASKED,AI222,2025-06-01 11:37:36.951,CANCELLED,MASKED,22E,MASKED,MASKED,True
B1174,MASKED,6F049,2026-04-12 11:37:36.951,CANCELLED,MASKED,19D,MASKED,MASKED,True
B1175,MASKED,6F105,2026-01-29 11:37:36.951,PENDING,MASKED,27D,MASKED,MASKED,True
B1176,MASKED,SJ226,2025-04-17 11:37:36.951,CANCELLED,MASKED,7C,MASKED,MASKED,True
B1177,MASKED,SJ227,2025-07-29 11:37:36.951,CANCELLED,MASKED,34D,MASKED,MASKED,True
B1178,MASKED,6F034,2026-02-05 11:37:36.951,CONFIRMED,MASKED,34E,MASKED,MASKED,True
B1179,MASKED,SJ078,2025-10-03 11:37:36.951,CONFIRMED,MASKED,33D,MASKED,MASKED,True
B1180,MASKED,AI240,2026-04-10 11:37:36.951,PENDING,MASKED,22F,MASKED,MASKED,True
B1181,MASKED,SJ002,2026-03-29 11:37:36.951,CANCELLED,MASKED,12E,MASKED,MASKED,True
B1182,MASKED,AI044,2025-08-11 11:37:36.951,CANCELLED,MASKED,3A,MASKED,MASKED,True
B1183,MASKED,UK076,2025-06-22 11:37:36.951,CANCELLED,MASKED,8C,MASKED,MASKED,True
B1184,MASKED,6F232,2025-08-01 11:37:36.951,PENDING,MASKED,28E,MASKED,MASKED,True
B1185,MASKED,SJ228,2025-08-16 11:37:36.951,CANCELLED,MASKED,25E,MASKED,MASKED,True
B1186,MASKED,SJ074,2026-04-04 11:37:36.951,CONFIRMED,MASKED,1B,MASKED,MASKED,True
B1187,MASKED,UK229,2025-08-04 11:37:36.951,PENDING,MASKED,7F,MASKED,MASKED,True
B1188,MASKED,AI208,2026-04-04 11:37:36.951,CONFIRMED,MASKED,6A,MASKED,MASKED,True
B1189,MASKED,AI019,2025-11-23 11:37:36.951,CONFIRMED,MASKED,14F,MASKED,MASKED,True
B1190,MASKED,6F029,2025-05-23 11:37:36.951,PENDING,MASKED,12B,MASKED,MASKED,True
B1191,MASKED,6F018,2025-04-27 11:37:36.951,CONFIRMED,MASKED,25B,MASKED,MASKED,True
B1192,MASKED,AI059,2025-06-23 11:37:36.951,CANCELLED,MASKED,7D,MASKED,MASKED,True
B1193,MASKED,AI159,2025-05-22 11:37:36.951,PENDING,MASKED,13D,MASKED,MASKED,True
B1194,MASKED,6F091,2025-07-11 11:37:36.951,CONFIRMED,MASKED,14F,MASKED,MASKED,True
B1195,MASKED,6F084,2025-07-20 11:37:36.951,CANCELLED,MASKED,10B,MASKED,MASKED,True
B1196,MASKED,UK170,2026-01-15 11:37:36.951,CANCELLED,MASKED,20C,MASKED,MASKED,True
B1197,MASKED,UK212,2025-05-19 11:37:36.951,CONFIRMED,MASKED,2E,MASKED,MASKED,True
B1199,MASKED,SJ075,2025-12-13 11:37:36.951,PENDING,MASKED,30E,MASKED,MASKED,True
B1200,MASKED,UK177,2025-09-17 11:37:36.951,CONFIRMED,MASKED,16B,MASKED,MASKED,True
B1201,MASKED,UK206,2026-02-01 11:37:36.951,CANCELLED,MASKED,3A,MASKED,MASKED,True
B1202,MASKED,UK079,2025-04-29 11:37:36.951,CANCELLED,MASKED,29C,MASKED,MASKED,True
B1203,MASKED,UK040,2025-06-21 11:37:36.951,CONFIRMED,MASKED,3B,MASKED,MASKED,True
B1204,MASKED,AI034,2025-07-25 11:37:36.951,CONFIRMED,MASKED,30A,MASKED,MASKED,True
B1205,MASKED,UK034,2025-10-18 11:37:36.951,CONFIRMED,MASKED,23F,MASKED,MASKED,True
B1206,MASKED,AI088,2025-07-02 11:37:36.951,CONFIRMED,MASKED,13A,MASKED,MASKED,True
B1207,MASKED,AI128,2025-06-11 11:37:36.951,PENDING,MASKED,26A,MASKED,MASKED,True
B1209,MASKED,AI233,2025-12-15 11:37:36.951,PENDING,MASKED,3A,MASKED,MASKED,True
B1210,MASKED,AI012,2026-01-20 11:37:36.951,PENDING,MASKED,3C,MASKED,MASKED,True
B1211,MASKED,AI084,2025-07-07 11:37:36.951,CONFIRMED,MASKED,34A,MASKED,MASKED,True
B1212,MASKED,6F126,2025-07-08 11:37:36.951,PENDING,MASKED,34B,MASKED,MASKED,True
B1213,MASKED,SJ061,2025-06-16 11:37:36.951,CONFIRMED,MASKED,2E,MASKED,MASKED,True
B1215,MASKED,AI135,2025-08-08 11:37:36.951,CANCELLED,MASKED,28C,MASKED,MASKED,True
B1216,MASKED,6F238,2025-12-09 11:37:36.951,CONFIRMED,MASKED,10A,MASKED,MASKED,True
B1217,MASKED,6F092,2026-03-19 11:37:36.951,CANCELLED,MASKED,32C,MASKED,MASKED,True
B1218,MASKED,AI213,2025-11-13 11:37:36.951,PENDING,MASKED,2D,MASKED,MASKED,True
B1219,MASKED,UK193,2026-02-15 11:37:36.951,CANCELLED,MASKED,1B,MASKED,MASKED,True
B1220,MASKED,6F178,2026-04-04 11:37:36.951,PENDING,MASKED,29C,MASKED,MASKED,True
B1221,MASKED,AI158,2026-03-06 11:37:36.951,CONFIRMED,MASKED,19D,MASKED,MASKED,True
B1222,MASKED,UK208,2026-03-30 11:37:36.951,PENDING,MASKED,8A,MASKED,MASKED,True
B1224,MASKED,UK185,2025-10-26 11:37:36.951,CONFIRMED,MASKED,1E,MASKED,MASKED,True
B1225,MASKED,AI163,2026-01-13 11:37:36.951,PENDING,MASKED,4D,MASKED,MASKED,True
B1226,MASKED,AI112,2025-08-23 11:37:36.951,CONFIRMED,MASKED,15C,MASKED,MASKED,True
B1227,MASKED,AI227,2025-10-23 11:37:36.951,CANCELLED,MASKED,12A,MASKED,MASKED,True
B1228,MASKED,SJ083,2026-04-17 11:37:36.951,CONFIRMED,MASKED,29D,MASKED,MASKED,True
B1229,MASKED,UK073,2026-02-07 11:37:36.951,CONFIRMED,MASKED,13F,MASKED,MASKED,True
B1230,MASKED,6F169,2025-04-29 11:37:36.951,PENDING,MASKED,6C,MASKED,MASKED,True
B1231,MASKED,UK154,2026-04-06 11:37:36.951,CANCELLED,MASKED,27D,MASKED,MASKED,True
B1232,MASKED,SJ169,2025-10-06 11:37:36.951,CONFIRMED,MASKED,32F,MASKED,MASKED,True
B1233,MASKED,6F187,2025-05-13 11:37:36.951,CANCELLED,MASKED,5F,MASKED,MASKED,True
B1234,MASKED,UK210,2025-11-21 11:37:36.951,CANCELLED,MASKED,33A,MASKED,MASKED,True
B1235,MASKED,6F250,2025-12-23 11:37:36.951,PENDING,MASKED,13D,MASKED,MASKED,True
B1236,MASKED,AI062,2025-07-05 11:37:36.951,CONFIRMED,MASKED,25A,MASKED,MASKED,True
B1239,MASKED,AI217,2025-11-17 11:37:36.951,CANCELLED,MASKED,30A,MASKED,MASKED,True
B1240,MASKED,UK100,2025-12-31 11:37:36.951,CONFIRMED,MASKED,17A,MASKED,MASKED,True
B1241,MASKED,UK116,2025-12-16 11:37:36.951,CONFIRMED,MASKED,10A,MASKED,MASKED,True
B1242,MASKED,6F036,2025-12-01 11:37:36.951,CANCELLED,MASKED,26C,MASKED,MASKED,True
B1243,MASKED,AI175,2026-01-22 11:37:36.951,CANCELLED,MASKED,29E,MASKED,MASKED,True
B1244,MASKED,UK051,2025-08-18 11:37:36.951,CONFIRMED,MASKED,27D,MASKED,MASKED,True
B1246,MASKED,6F230,2026-04-09 11:37:36.951,CONFIRMED,MASKED,33B,MASKED,MASKED,True
B1247,MASKED,SJ138,2025-08-13 11:37:36.951,CANCELLED,MASKED,15F,MASKED,MASKED,True
B1248,MASKED,AI246,2026-03-04 11:37:36.951,PENDING,MASKED,16B,MASKED,MASKED,True
B1249,MASKED,6F179,2025-06-06 11:37:36.951,CANCELLED,MASKED,26B,MASKED,MASKED,True
B1250,MASKED,6F031,2026-01-28 11:37:36.951,CANCELLED,MASKED,16F,MASKED,MASKED,True
B1251,MASKED,UK015,2025-08-30 11:37:36.951,PENDING,MASKED,29A,MASKED,MASKED,True
B1252,MASKED,UK001,2025-04-21 11:37:36.951,CANCELLED,MASKED,27C,MASKED,MASKED,True
B1253,MASKED,6F133,2026-02-27 11:37:36.951,CANCELLED,MASKED,15E,MASKED,MASKED,True
B1254,MASKED,6F143,2025-07-22 11:37:36.951,CANCELLED,MASKED,5D,MASKED,MASKED,True
B1255,MASKED,UK165,2025-09-22 11:37:36.951,CANCELLED,MASKED,23F,MASKED,MASKED,True
B1256,MASKED,6F083,2025-08-10 11:37:36.951,CANCELLED,MASKED,22B,MASKED,MASKED,True
B1257,MASKED,AI082,2025-08-19 11:37:36.951,CANCELLED,MASKED,11C,MASKED,MASKED,True
B1258,MASKED,AI164,2025-10-28 11:37:36.951,CANCELLED,MASKED,21F,MASKED,MASKED,True
B1259,MASKED,SJ155,2026-01-19 11:37:36.951,CANCELLED,MASKED,31F,MASKED,MASKED,True
B1260,MASKED,AI189,2026-01-04 11:37:36.951,CANCELLED,MASKED,1D,MASKED,MASKED,True
B1261,MASKED,SJ057,2025-12-21 11:37:36.951,CONFIRMED,MASKED,34A,MASKED,MASKED,True
B1262,MASKED,SJ198,2025-05-07 11:37:36.951,CONFIRMED,MASKED,16F,MASKED,MASKED,True
B1263,MASKED,6F122,2026-01-03 11:37:36.951,CANCELLED,MASKED,6C,MASKED,MASKED,True
B1264,MASKED,SJ097,2026-04-15 11:37:36.951,CONFIRMED,MASKED,12A,MASKED,MASKED,True
B1265,MASKED,UK203,2025-08-06 11:37:36.951,PENDING,MASKED,28F,MASKED,MASKED,True
